"mes,""cdi_medio_aa"",""cdi_acumulado_mes"",""ipca_mes"",""ipca_12m"",""indice_precos"",""dolar_medio"",""dolar_fechamento"",""dolar_variacao_mes"",""ibov_medio"",""ibov_fechamento"",""ibov_retorno_mes"""
2022-11-01,13.65,1.02067662025629,0.41,5.90048827858569,110.451128931098,5.27465,5.2941,0.705725699067927,112076.55,112486,-3.06023078845541
2022-12-01,13.65,1.12331551567764,0.62,5.78484195960778,111.135925930471,5.24243181818182,5.2177,-1.44311592149753,107561.476190476,110031,-2.18249382145334
2023-01-01,13.65,1.12331551567764,0.53,5.77432029241467,111.724946337902,5.20068181818182,5.0993,-2.26919907238821,110740.863636364,113532,3.18183057501977
2023-02-01,13.65,0.918141902024949,0.84,5.59630193334415,112.66343588714,5.17168888888889,5.2078,2.12774302355223,108303.444444444,104932,-7.57495684036219
2023-03-01,13.65,1.17467406290721,0.71,4.65069442734787,113.463346281939,5.21146086956522,5.0804,-2.44633050424363,102479.086956522,101882,-2.90664430297717
2023-04-01,13.65,0.918141902024949,0.61,4.18470578206482,114.155472694259,5.01973333333333,5.0007,-1.56877411227462,103897.555555556,104432,2.50289550656642
2023-05-01,13.65,1.12331551567764,0.23,3.93583219405154,114.418030281456,4.98283636363636,5.0959,1.90373347731319,107883.772727273,108335,3.73736019610846
2023-06-01,13.65,1.07198303920537,-0.08,3.16150146845764,114.326495857231,4.85156666666667,4.8192,-5.42985537392806,117180.523809524,118087,9.0017076660359
2023-07-01,13.65,1.07198303920537,0.12,3.99244388866267,114.463687652259,4.80083333333333,4.7415,-1.61230079681275,119255.571428571,121943,3.26538907754452
2023-08-01,13.1934782608696,1.13750612756125,0.23,4.60821608752169,114.72695413386,4.90354347826087,4.9219,3.80470315301065,117601.913043478,115742,-5.08516273996867
2023-09-01,12.975,0.972909746635242,0.26,5.1852346297756,115.025244214608,4.93699,5.0076,1.74119750502855,116960,116565,0.71106426362082
2023-10-01,12.65,0.997571910509132,0.24,4.81924564358986,115.301304800723,5.06484285714286,5.0575,0.99648534227974,114334.619047619,113144,-2.93484322052074
2023-11-01,12.175,0.915991146244832,0.28,4.68353702957069,115.624148454165,4.89834,4.9355,-2.41225902125556,122928.25,127331,12.5388884960758
2023-12-01,11.875,0.894528951725793,0.56,4.62111393056677,116.271643685508,4.897245,4.8413,-1.90862121365616,129733.947368421,134185,5.38282115117292
2024-01-01,11.65,0.966695554178254,0.42,4.50663743069246,116.759984588987,4.91439545454545,4.9535,2.31755933323694,129677.136363636,127752,-4.79412751052651
2024-02-01,11.15,0.80020795318565,0.83,4.49627382126856,117.729092461076,4.96438947368421,4.9833,0.601594831937002,129062.526315789,129020,0.99254806186988
2024-03-01,11,0.831676533502268,0.16,3.9255961268817,117.917459009013,4.980135,4.9962,0.25886460779001,127726.75,128106,-0.708417299643471
2024-04-01,10.65,0.887422936501192,0.38,3.68801649156532,118.365545353248,5.12909545454546,5.1718,3.51467115007407,126333.954545455,125924,-1.70327697375611
2024-05-01,10.4595238095238,0.832433143334921,0.46,3.92595167856582,118.910026861873,5.13304761904762,5.2416,1.34962682238291,126792.285714286,122098,-3.03834058638544
2024-06-01,10.4,0.788328757938417,0.21,4.22757823968254,119.159737918283,5.388975,5.5589,6.05349511599513,121355.4,123907,1.48159675015151
2024-07-01,10.4,0.90711288991514,0.38,4.49824514282198,119.612544922372,5.54204782608696,5.6621,1.85648239759664,127125.043478261,127652,3.02242811140614
